data_acidente,hora_acidente,regiao,feridos,mortos,gravidade
2021-05-22,1970-01-01T04:46:00.000Z,NAO INFORMADA,0,3,30
2021-05-21,1970-01-01T00:00:00.000Z,NAO INFORMADA,0,2,20
2021-12-16,1970-01-01T00:15:00.000Z,BRONX,0,2,20
2021-06-18,1970-01-01T10:00:00.000Z,NAO INFORMADA,0,2,20
2021-12-24,1970-01-01T09:21:00.000Z,MANHATTAN,0,2,20
2021-09-04,1970-01-01T14:45:00.000Z,STATEN ISLAND,18,0,18
2021-06-07,1970-01-01T13:55:00.000Z,NAO INFORMADA,17,0,17
2022-01-08,1970-01-01T04:11:00.000Z,QUEENS,5,1,15
2021-04-15,1970-01-01T22:36:00.000Z,NAO INFORMADA,4,1,14
2021-06-10,1970-01-01T23:43:00.000Z,BROOKLYN,4,1,14
2021-09-11,1970-01-01T18:18:00.000Z,BROOKLYN,3,1,13
2021-04-21,1970-01-01T00:55:00.000Z,QUEENS,3,1,13
2022-03-28,1970-01-01T08:25:00.000Z,MANHATTAN,2,1,12
2021-04-29,1970-01-01T19:46:00.000Z,NAO INFORMADA,2,1,12
2021-04-27,1970-01-01T00:27:00.000Z,NAO INFORMADA,2,1,12
2021-06-13,1970-01-01T03:50:00.000Z,QUEENS,2,1,12
2021-09-11,1970-01-01T03:01:00.000Z,NAO INFORMADA,2,1,12
2021-09-07,1970-01-01T01:17:00.000Z,NAO INFORMADA,2,1,12
2021-12-24,1970-01-01T22:38:00.000Z,NAO INFORMADA,2,1,12
2021-06-29,1970-01-01T00:21:00.000Z,BROOKLYN,2,1,12
