fator_contribuinte,total_registros,gravidade_media,total_feridos,total_mortos
Physical Disability,19,1.74,23,1
Lost Consciousness,88,1.52,104,3
Traffic Control Device Improper/Non-Working,25,1.24,31,0
Illnes,78,1.18,62,3
Using On Board Navigation Device,7,1.14,8,0
Shoulders Defective/Improper,1,1,1,0
Windshield Inadequate,1,1,1,0
Listening/Using Headphones,1,1,1,0
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,604,0.97,523,6
Traffic Control Disregarded,1708,0.94,1505,10
Drugs (illegal),56,0.93,52,0
Unsafe Speed,2124,0.91,1545,38
Prescription Medication,10,0.9,9,0
Lane Marking Improper/Inadequate,17,0.88,15,0
Tow Hitch Defective,5,0.8,4,0
Failure to Yield Right-of-Way,3761,0.79,2858,10
Failure to Keep Right,60,0.77,46,0
Accelerator Defective,33,0.73,24,0
Glare,69,0.72,40,1
Headlights Defective,7,0.71,5,0
Alcohol Involvement,831,0.68,476,9
Pavement Defective,70,0.67,47,0
View Obstructed/Limited,530,0.66,352,0
Brakes Defective,213,0.66,140,0
Obstruction/Debris,116,0.64,74,0
Following Too Closely,3933,0.6,2350,2
Pavement Slippery,469,0.6,283,0
Fatigued/Drowsy,71,0.59,42,0
Passenger Distraction,139,0.58,80,0
Aggressive Driving/Road Rage,421,0.57,238,0
Tinted Windows,14,0.57,8,0
Other Vehicular,2041,0.56,1138,1
Driver Inexperience,1179,0.55,620,3
Reaction to Uninvolved Vehicle,770,0.54,413,0
Cell Phone (hand-Held),19,0.53,10,0
Driver Inattention/Distraction,14108,0.52,7202,14
Outside Car Distraction,141,0.48,68,0
Unsafe Lane Changing,1125,0.47,497,3
Fell Asleep,213,0.47,101,0
Turning Improperly,1254,0.46,561,1
Tire Failure/Inadequate,112,0.4,45,0
Passing or Lane Usage Improper,2705,0.35,940,1
Steering Failure,136,0.35,48,0
Other Lighting Defects,6,0.33,2,0
Driverless/Runaway Vehicle,46,0.26,12,0
Other Electronic Device,4,0.25,1,0
Backing Unsafely,1616,0.23,368,0
Animals Action,41,0.2,8,0
Cell Phone (hands-free),5,0.2,1,0
Oversized Vehicle,250,0.17,42,0
Passing Too Closely,2117,0.13,283,0
Vehicle Vandalism,10,0.1,1,0
Texting,3,0,0,0
Eating or Drinking,1,0,0,0
